name,year,rating,metascore,num_votes
Rang De Basanti,2006,8.2,,110215.0
Lage Raho Munna Bhai,2006,8.1,,42389.0
Don,I) (2006,7.2,,33911.0
Fanaa,2006,7.2,,30527.0
Dhoom 2,2006,6.5,,23474.0
Khosla's Nest,2006,8.3,,22046.0
The Namesake,2006,7.5,82.0,19242.0
Omkara,2006,8.1,,18922.0
Kabhi Alvida Naa Kehna,2006,6.1,,18049.0
Krrish,2006,6.4,68.0,18025.0
Phir Hera Pheri,2006,6.9,,17280.0
Hotchpotch: Fun Unlimited,2006,7.4,,14910.0
Bhagam Bhag,2006,6.4,,10734.0
Taxi No. 9 2 11: Nau Do Gyarah,2006,7.2,,9079.0
Vivah,2006,6.6,,8875.0
Chup Chup Ke,2006,6.8,,8338.0
Sweetheart,2006,6.0,40.0,7908.0
Malamaal Weekly,2006,6.9,,5698.0
Dor,2006,7.9,,5621.0
Gangster,2006,7.1,,5330.0
36 China Town,2006,5.7,,4193.0
Humko Deewana Kar Gaye,2006,5.2,,3880.0
Zinda,2006,4.9,,3191.0
Kabul Express,2006,6.8,,3075.0
A Father's Affection for His Daughter,2006,5.4,,3020.0
Pyaar Ke Side Effects,2006,6.7,,2968.0
Corporate,2006,6.5,,1914.0
Darna Zaroori Hai,2006,5.4,,1870.0
Apna Sapna Money Money,2006,5.3,,1844.0
Family: Ties of Blood,2006,5.6,,1819.0
Umrao Jaan,2006,5.5,,1818.0
Valley of Flowers,2006,7.0,,1759.0
Sainikudu,2006,5.1,,1598.0
Ahista Ahista,2006,7.0,,1435.0
Aathi,2006,3.8,,1435.0
Fight Club: Members Only,2006,3.2,,1341.0
Woh Lamhe,2006,6.5,,1234.0
Different,2006,3.8,,1143.0
Khan kluay,2006,6.0,,1126.0
I See You,2006,4.1,,1103.0
Aksar,2006,4.8,,1103.0
I'm Screwed by Getting Married,2006,4.0,,1030.0
Naksha,2006,3.2,,1019.0
The Killer,2006,4.6,,1017.0
Mere Jeevan Saathi,2006,3.5,,862.0
Aap Ki Khatir,2006,3.5,,836.0
Faryad moorcheha,2006,6.0,,831.0
Pyare Mohan,2006,3.3,,798.0
Sandwich,2006,5.4,,772.0
The Love Season,2006,2.2,,757.0
Bangaram,2006,4.7,,723.0
Shaadi Se Pehle,2006,4.0,,722.0
Yun Hota Toh Kya Hota,2006,6.6,,636.0
Mixed Doubles,2006,6.4,,624.0
My Faraway Bride,2006,4.7,,609.0
Anthony Kaun Hai?,2006,5.3,,593.0
Deadline: Sirf 24 Ghante,2006,6.3,,553.0
"Tom, Dick, and Harry",2006,3.1,,547.0
Humko Tumse Pyaar Hai,2006,4.8,,527.0
Bas Ek Pal,2006,5.9,,491.0
Dil Diya Hai,2006,3.5,,457.0
Jawani Diwani: A Youthful Joyride,2006,2.9,,449.0
Tathastu,2006,4.5,,448.0
Gafla,2006,7.3,,434.0
Ankahee,2006,4.1,,358.0
Anuranan,2006,6.8,,354.0
Darwaza Bandh Rakho,2006,5.3,,325.0
Shiva,2006,3.9,,320.0
Banaras,2006,6.2,,312.0
Rocky,2006,4.0,,310.0
Aryan: Unbreakable,2006,4.4,,299.0
Teesri Aankh: The Hidden Camera,2006,2.6,,289.0
Boss,2006,4.3,,288.0
Jigyaasa,2006,3.6,,258.0
Zindaggi Rocks,2006,4.0,,233.0
Chingaari,2006,4.7,,178.0
Jaane Hoga Kya,2006,2.7,,162.0
Bhoot Unkle,2006,4.1,,149.0
Return to Rajapur,2006,6.2,,148.0
Holiday,2006,4.5,,137.0
Yatra,2006,6.4,,130.0
Ladies Tailor,2006,3.6,,117.0
Hyderabad Nawabs,2006,6.8,,111.0
Sarhad Paar,2006,4.1,,111.0
Aatma,2006,4.2,,77.0
Hubballi,2006,6.9,,76.0
Sivappathikaaram,2006,5.4,,70.0
Kudiyon Ka Hai Zamaana,2006,3.7,,67.0
Umar,2006,5.5,,64.0
Thirupathi,2006,6.4,,59.0
Ganga,2006,4.7,,59.0
Come December,2006,5.7,,57.0
Naughty Boy,2006,3.6,,54.0
Mera Dil Leke Dekho,2006,6.8,,54.0
Free Entry,2006,5.1,,52.0
Chinnodu,2006,4.3,,48.0
Mr. 100%,2006,4.5,,45.0
Prateeksha,2006,5.6,,44.0
Little Box of Sweets,2006,6.4,,44.0
Souten: The Other Woman,2006,4.8,,42.0
Rehguzar,2006,6.1,,42.0
Aaj Ka Gunda Raaj,2006,6.4,,40.0
Iqraar: By Chance,2006,4.8,,39.0
Love Ke Chakkar Mein,2006,4.3,,39.0
Unns: Love... Forever,2006,3.4,,38.0
